"uniprot_id","reactome_pathway_id"
"A0A075B5J3","R-MMU-198955"
"A0A075B5J3","R-MMU-202165"
"A0A075B5J3","R-MMU-202168"
"A0A075B5J3","R-MMU-202174"
"A0A075B5J3","R-MMU-202214"
"A0A075B5J3","R-MMU-202216"
"A0A075B5J3","R-MMU-202233"
"A0A075B5J3","R-MMU-202245"
"A0A075B5J3","R-MMU-202248"
"A0A075B5J3","R-MMU-202291"
"A0A075B5J3","R-MMU-202307"
"A0A075B5J3","R-MMU-202344"
"A0A075B5J3","R-MMU-389758"
"A0A075B5J3","R-MMU-8850326"
"A0A075B5J3","R-MMU-8850356"
"A0A075B5J3","R-MMU-8852200"
"A0A075B5J3","R-MMU-8855381"
"A0A075B5J4","R-MMU-198955"
"A0A075B5J4","R-MMU-202165"
"A0A075B5J4","R-MMU-202168"
"A0A075B5J4","R-MMU-202174"
"A0A075B5J4","R-MMU-202214"
"A0A075B5J4","R-MMU-202216"
"A0A075B5J4","R-MMU-202233"
"A0A075B5J4","R-MMU-202245"
"A0A075B5J4","R-MMU-202248"
"A0A075B5J4","R-MMU-202291"
"A0A075B5J4","R-MMU-202307"
"A0A075B5J4","R-MMU-202344"
"A0A075B5J4","R-MMU-389758"
"A0A075B5J4","R-MMU-8850326"
"A0A075B5J4","R-MMU-8850356"
"A0A075B5J4","R-MMU-8852200"
"A0A075B5J4","R-MMU-8855381"
"A0A075B5J7","R-MMU-1112666"
"A0A075B5J7","R-MMU-166753"
"A0A075B5J7","R-MMU-166792"
"A0A075B5J7","R-MMU-173626"
"A0A075B5J7","R-MMU-173631"
"A0A075B5J7","R-MMU-1861621"
"A0A075B5J7","R-MMU-199161"
"A0A075B5J7","R-MMU-2029268"
"A0A075B5J7","R-MMU-2029270"
"A0A075B5J7","R-MMU-2029271"
"A0A075B5J7","R-MMU-2029272"
"A0A075B5J7","R-MMU-2029273"
"A0A075B5J7","R-MMU-2029451"
"A0A075B5J7","R-MMU-2029452"
"A0A075B5J7","R-MMU-2029453"
"A0A075B5J7","R-MMU-2029455"
"A0A075B5J7","R-MMU-2029457"
"A0A075B5J7","R-MMU-2029458"
"A0A075B5J7","R-MMU-2029459"
"A0A075B5J7","R-MMU-2029467"
"A0A075B5J7","R-MMU-2029476"
"A0A075B5J7","R-MMU-2197697"
"A0A075B5J7","R-MMU-2203516"
"A0A075B5J7","R-MMU-2454192"
"A0A075B5J7","R-MMU-2454208"
"A0A075B5J7","R-MMU-2454240"
