source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,Cluster,log_p_value
GO:BP,GO:0046394,carboxylic acid biosynthetic process,3.013245318037566e-16,True,"""The chemical reactions and pathways resulting in the formation of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]",322,562,40,26944,0.0711743772241993,0.12422360248447205,query_1,"['GO:0016053', 'GO:0019752']",1,15.52096550957025
GO:BP,GO:0016053,organic acid biosynthetic process,4.722251376724371e-16,True,"""The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",326,562,40,26944,0.0711743772241993,0.12269938650306748,query_1,"['GO:0006082', 'GO:0044249', 'GO:0044283', 'GO:1901576']",1,15.325850898108946
GO:BP,GO:0016072,rRNA metabolic process,1.0187827859056265e-14,True,"""The chemical reactions and pathways involving rRNA, ribosomal RNA, a structural constituent of ribosomes."" [ISBN:0198506732]",250,562,34,26944,0.060498220640569395,0.136,query_1,['GO:0034660'],1,13.991918401801627
GO:BP,GO:0170039,proteinogenic amino acid metabolic process,3.4331217620296923e-13,True,"""The chemical reactions and pathways involving any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein."" [GOC:ew]",139,562,25,26944,0.04448398576512456,0.17985611510791366,query_1,"['GO:0006520', 'GO:0019752', 'GO:1901564']",1,12.464310793241935
GO:CC,GO:0101019,nucleolar exosome (RNase complex),1.928085920383395e-12,True,"""A ribonuclease complex that has 3-prime to 5-prime distributive hydrolytic exoribonuclease activity and in some taxa (e.g. yeast) endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."" [PMID:17174896, PMID:20531386, PMID:26726035]",10,560,9,26995,0.01607142857142857,0.9,query_1,"['GO:0000176', 'GO:0005730']",1,11.71487361674182
GO:CC,GO:0000176,nuclear exosome (RNase complex),1.0968510251402124e-11,True,"""A ribonuclease complex that has 3-prime to 5-prime processive and distributive hydrolytic exoribonuclease activity and endoribonuclease activity, producing 5-prime-phosphomonoesters. Participates in a multitude of cellular RNA processing and degradation events preventing nuclear export and/or translation of aberrant RNAs. Restricted to processing linear and circular single-stranded RNAs (ssRNA) only. RNAs with complex secondary structures may have to be unwound or pre-processed by co-factors prior to entering the complex, esp if the 3-prime end is structured."" [PMID:17174896, PMID:20531386, PMID:26726035]",15,560,10,26995,0.017857142857142856,0.6666666666666666,query_1,"['GO:0000178', 'GO:0031981', 'GO:0140513']",1,10.9598523545156
GO:CC,GO:0005635,nuclear envelope,1.541266042555388e-11,True,"""The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space)."" [ISBN:0198547684]",492,560,41,26995,0.07321428571428572,0.08333333333333333,query_1,"['GO:0005634', 'GO:0012505', 'GO:0031967']",1,10.81212238993748
GO:BP,GO:0016054,organic acid catabolic process,1.6062358578585288e-11,True,"""The chemical reactions and pathways resulting in the breakdown of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",262,562,31,26944,0.05516014234875445,0.1183206106870229,query_1,"['GO:0006082', 'GO:0044248', 'GO:0044282', 'GO:1901575']",1,10.7941906830638
GO:BP,GO:0046395,carboxylic acid catabolic process,1.6062358578585288e-11,True,"""The chemical reactions and pathways resulting in the breakdown of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]",262,562,31,26944,0.05516014234875445,0.1183206106870229,query_1,"['GO:0016054', 'GO:0019752']",1,10.7941906830638
GO:BP,GO:0170038,proteinogenic amino acid biosynthetic process,2.3970174379795315e-11,True,"""The chemical reactions and pathways resulting in the formation of any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein."" [GOC:ew]",54,562,16,26944,0.028469750889679714,0.2962962962962963,query_1,"['GO:0046394', 'GO:0170039', 'GO:1901566']",1,10.620328806520899
